path,distribution,family,util_bucket,n_tasks,U_total,dm_schedulable,edf_schedulable,edf_checked_points,edf_worst_violation,sim_horizon,sim_dm_missed_total,sim_edf_missed_total
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_82.csv,automotive-utilDist,automotive-perDist,0.10,12,0.08069,1,1,2,-92981,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_83.csv,automotive-utilDist,automotive-perDist,0.10,13,0.0902,1,1,10,-19250,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_84.csv,automotive-utilDist,automotive-perDist,0.10,10,0.10686,1,1,2,-90001,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_85.csv,automotive-utilDist,automotive-perDist,0.10,8,0.07506,1,1,4,-48020,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_86.csv,automotive-utilDist,automotive-perDist,0.10,3,0.32549,1,1,10,-13650,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_87.csv,automotive-utilDist,automotive-perDist,0.10,14,0.099316,1,1,2,-91411,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_88.csv,automotive-utilDist,automotive-perDist,0.10,6,0.055771,1,1,2,-98350,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_89.csv,automotive-utilDist,automotive-perDist,0.10,10,0.086779,1,1,2,-92190,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_9.csv,automotive-utilDist,automotive-perDist,0.10,11,0.121636,1,1,2,-89080,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_90.csv,automotive-utilDist,automotive-perDist,0.10,15,0.094101,1,1,2,-92500,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_91.csv,automotive-utilDist,automotive-perDist,0.10,6,0.0936,1,1,20,-9680,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_92.csv,automotive-utilDist,automotive-perDist,0.10,12,0.125437,1,1,2,-89390,500000,0,0
data/output/automotive-utilDist/automotive-perDist/1-core/25-task/0-jitter/0.10-util/tasksets/automotive_93.csv,automotive-utilDist,automotive-perDist,0.10,17,0.045232,1,1,2,-98570,500000,0,0
